Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
063,AF0F,063,0000,000,0000,000,0000,0000,004,0100
063,AF0F,064,AF0F,063,000F,000,000F,000F,000,0000
064,0C00,065,0C00,7FF,000F,7FF,0064,000F,000,0000,7FF,000F
065,AF0B,066,AF0B,065,000B,7FF,000B,000B,000,0000
066,0C00,067,0C00,7FE,000B,7FE,0066,000B,000,0000,7FE,000B
067,DE02,06A,DE02,7FD,0068,7FD,006A,000B,000,0000,7FD,0068
06A,AF08,06B,AF08,06A,0008,7FD,0008,0008,000,0000
06B,EEF4,06C,EEF4,060,0008,7FD,FFF4,0008,000,0000,060,0008
06C,AF00,06D,AF00,06C,0000,7FD,0000,0000,004,0100
06D,0C00,06E,0C00,7FC,0000,7FC,006D,0000,004,0100,7FC,0000
06E,AC01,06F,AC01,7FD,0068,7FC,0001,0068,000,0000
06F,0680,070,0680,06F,0680,7FC,006F,6800,000,0000
070,EC01,071,EC01,7FD,6800,7FC,0001,6800,000,0000,7FD,6800
071,AC02,072,AC02,7FE,000B,7FC,0002,000B,000,0000
072,2F01,073,2F01,072,0001,7FC,0001,0001,000,0000
073,0C00,074,0C00,7FB,0001,7FB,0073,0001,000,0000,7FB,0001
074,CE03,078,CE03,074,0078,7FB,0003,0001,000,0000
078,DE16,08F,DE16,7FA,0079,7FA,008F,0001,000,0000,7FA,0079
08F,AC02,090,AC02,7FC,0000,7FA,0002,0000,004,0100
090,0280,091,0280,090,0280,7FA,0090,FFFF,008,1000
091,2C01,092,2C01,7FB,0001,7FA,0001,0001,000,0000
092,EEFB,093,EEFB,08E,0001,7FA,FFFB,0001,000,0000,08E,0001
093,AC01,094,AC01,7FB,0001,7FA,0001,0001,000,0000
094,0280,095,0280,094,0280,7FA,0094,FFFE,008,1000
095,2C01,096,2C01,7FB,0001,7FA,0001,0000,004,0100
096,3EF7,097,3EF7,08E,0001,7FA,FFFE,0001,000,0000
097,0A00,079,0A00,7FA,0079,7FB,0097,0001,000,0000
079,F10B,085,F10B,079,F10B,7FB,000B,0001,000,0000
085,AC04,086,AC04,7FF,000F,7FB,0004,000F,000,0000
086,0580,087,0580,086,0580,7FB,0086,0007,003,0011
087,EC04,088,EC04,7FF,0007,7FB,0004,0007,003,0011,7FF,0007
088,AC00,089,AC00,7FB,0001,7FB,0000,0001,001,0001
089,EC01,08A,EC01,7FC,0001,7FB,0001,0001,001,0001,7FC,0001
08A,8ED5,08B,8ED5,060,0007,7FB,0006,0001,001,0001,060,0007
08B,CEE9,075,CEE9,08B,0075,7FB,FFE9,0001,001,0001
075,AC04,076,AC04,7FF,0007,7FB,0004,0007,001,0001
076,2F01,077,2F01,076,0001,7FB,0001,0001,001,0001
077,EC00,078,EC00,7FB,0001,7FB,0000,0001,001,0001,7FB,0001
078,DE16,08F,DE16,7FA,0079,7FA,008F,0001,001,0001,7FA,0079
08F,AC02,090,AC02,7FC,0001,7FA,0002,0001,001,0001
090,0280,091,0280,090,0280,7FA,0090,FFFE,009,1001
091,2C01,092,2C01,7FB,0001,7FA,0001,0000,005,0101
092,EEFB,093,EEFB,08E,0000,7FA,FFFB,0000,005,0101,08E,0000
093,AC01,094,AC01,7FB,0001,7FA,0001,0001,001,0001
094,0280,095,0280,094,0280,7FA,0094,FFFE,009,1001
095,2C01,096,2C01,7FB,0001,7FA,0001,0000,005,0101
096,3EF7,097,3EF7,08E,0000,7FA,FFFF,0000,005,0101
097,0A00,079,0A00,7FA,0079,7FB,0097,0000,005,0101
079,F10B,07A,F10B,079,F10B,7FB,0079,0000,005,0101
07A,DE1D,098,DE1D,7FA,007B,7FA,0098,0000,005,0101,7FA,007B
098,AC02,099,AC02,7FC,0001,7FA,0002,0001,001,0001
099,0280,09A,0280,099,0280,7FA,0099,FFFE,009,1001
09A,3C01,09B,3C01,7FB,0001,7FA,0000,FFFF,009,1001
09B,0A00,07B,0A00,7FA,007B,7FB,009B,FFFF,009,1001
07B,F003,07C,F003,07B,F003,7FB,007B,FFFF,009,1001
07C,AC04,07D,AC04,7FF,0007,7FB,0004,0007,001,0001
07D,4C03,07E,4C03,7FE,000B,7FB,0003,0012,000,0000
07E,CE07,086,CE07,07E,0086,7FB,0007,0012,000,0000
086,0580,087,0580,086,0580,7FB,0086,0009,000,0000
087,EC04,088,EC04,7FF,0009,7FB,0004,0009,000,0000,7FF,0009
088,AC00,089,AC00,7FB,0001,7FB,0000,0001,000,0000
089,EC01,08A,EC01,7FC,0001,7FB,0001,0001,000,0000,7FC,0001
08A,8ED5,08B,8ED5,060,0006,7FB,0005,0001,000,0000,060,0006
08B,CEE9,075,CEE9,08B,0075,7FB,FFE9,0001,000,0000
075,AC04,076,AC04,7FF,0009,7FB,0004,0009,000,0000
076,2F01,077,2F01,076,0001,7FB,0001,0001,000,0000
077,EC00,078,EC00,7FB,0001,7FB,0000,0001,000,0000,7FB,0001
078,DE16,08F,DE16,7FA,0079,7FA,008F,0001,000,0000,7FA,0079
08F,AC02,090,AC02,7FC,0001,7FA,0002,0001,000,0000
090,0280,091,0280,090,0280,7FA,0090,FFFE,008,1000
091,2C01,092,2C01,7FB,0001,7FA,0001,0000,004,0100
092,EEFB,093,EEFB,08E,0000,7FA,FFFB,0000,004,0100,08E,0000
093,AC01,094,AC01,7FB,0001,7FA,0001,0001,000,0000
094,0280,095,0280,094,0280,7FA,0094,FFFE,008,1000
095,2C01,096,2C01,7FB,0001,7FA,0001,0000,004,0100
096,3EF7,097,3EF7,08E,0000,7FA,FFFF,0000,004,0100
097,0A00,079,0A00,7FA,0079,7FB,0097,0000,004,0100
079,F10B,07A,F10B,079,F10B,7FB,0079,0000,004,0100
07A,DE1D,098,DE1D,7FA,007B,7FA,0098,0000,004,0100,7FA,007B
098,AC02,099,AC02,7FC,0001,7FA,0002,0001,000,0000
099,0280,09A,0280,099,0280,7FA,0099,FFFE,008,1000
09A,3C01,09B,3C01,7FB,0001,7FA,0000,FFFF,008,1000
09B,0A00,07B,0A00,7FA,007B,7FB,009B,FFFF,008,1000
07B,F003,07C,F003,07B,F003,7FB,007B,FFFF,008,1000
07C,AC04,07D,AC04,7FF,0009,7FB,0004,0009,000,0000
07D,4C03,07E,4C03,7FE,000B,7FB,0003,0014,000,0000
07E,CE07,086,CE07,07E,0086,7FB,0007,0014,000,0000
086,0580,087,0580,086,0580,7FB,0086,000A,000,0000
087,EC04,088,EC04,7FF,000A,7FB,0004,000A,000,0000,7FF,000A
088,AC00,089,AC00,7FB,0001,7FB,0000,0001,000,0000
089,EC01,08A,EC01,7FC,0001,7FB,0001,0001,000,0000,7FC,0001
08A,8ED5,08B,8ED5,060,0005,7FB,0004,0001,000,0000,060,0005
08B,CEE9,075,CEE9,08B,0075,7FB,FFE9,0001,000,0000
075,AC04,076,AC04,7FF,000A,7FB,0004,000A,000,0000
076,2F01,077,2F01,076,0001,7FB,0001,0000,004,0100
077,EC00,078,EC00,7FB,0000,7FB,0000,0000,004,0100,7FB,0000
078,DE16,08F,DE16,7FA,0079,7FA,008F,0000,004,0100,7FA,0079
08F,AC02,090,AC02,7FC,0001,7FA,0002,0001,000,0000
090,0280,091,0280,090,0280,7FA,0090,FFFE,008,1000
091,2C01,092,2C01,7FB,0000,7FA,0001,0000,004,0100
092,EEFB,093,EEFB,08E,0000,7FA,FFFB,0000,004,0100,08E,0000
093,AC01,094,AC01,7FB,0000,7FA,0001,0000,004,0100
094,0280,095,0280,094,0280,7FA,0094,FFFF,008,1000
095,2C01,096,2C01,7FB,0000,7FA,0001,0000,004,0100
096,3EF7,097,3EF7,08E,0000,7FA,FFFF,0000,004,0100
097,0A00,079,0A00,7FA,0079,7FB,0097,0000,004,0100
079,F10B,07A,F10B,079,F10B,7FB,0079,0000,004,0100
07A,DE1D,098,DE1D,7FA,007B,7FA,0098,0000,004,0100,7FA,007B
098,AC02,099,AC02,7FC,0001,7FA,0002,0001,000,0000
099,0280,09A,0280,099,0280,7FA,0099,FFFE,008,1000
09A,3C01,09B,3C01,7FB,0000,7FA,0001,FFFE,008,1000
